A,B,C,D,E,F,G,H,I
100,100,172,63,1.8067,23.047,2.8352,-28.846,0
0,0,172,63,1.8525,28.763,3.4492,-29.15,152.93
1,1,172,63,1.8525,28.464,4.0758,-32.431,320.63
2,2,172,63,1.8525,28.521,4.9964,-35.723,475.13
3,3,172,63,1.8525,29.15,6.8433,-37.602,601.84
4,4,172,63,1.8525,30.26,9.8879,-37.374,694.1
5,5,172,63,1.8525,31.417,13.764,-35.363,753.13
6,6,172,63,1.8525,32.034,17.436,-32.706,785.49
7,7,172,63,1.8525,31.777,20.071,-30.245,799.51
8,8,172,63,1.8525,30.635,21.422,-28.3,802.51
9,9,172,63,1.8525,28.85,21.724,-26.848,799.14
10,10,172,63,1.8525,26.777,21.405,-25.75,791.26
11,11,172,63,1.8525,24.68,20.793,-24.924,778.66
12,12,172,63,1.8525,22.683,20.013,-24.347,760.15
13,13,172,63,1.8525,20.848,19.12,-23.959,734.65
14,14,172,63,1.8525,19.242,18.194,-23.602,701.9
15,15,172,63,1.8525,17.883,17.372,-23.089,662.64
16,16,172,63,1.8525,16.727,16.745,-22.358,618.52
17,17,172,63,1.8525,15.648,16.284,-21.489,571.73
18,18,172,63,1.8525,14.461,15.788,-20.672,524.54
19,19,172,63,1.8525,13.035,14.981,-20.116,478.93
20,20,172,63,1.8525,11.369,13.744,-19.902,436.42
21,21,172,63,1.8525,9.5307,12.139,-19.981,398.02
22,22,172,63,1.8525,7.604,10.356,-20.203,364.28
23,23,172,63,1.8525,5.6585,8.6161,-20.384,335.52
24,24,172,63,1.8525,3.7562,7.0497,-20.406,311.93
25,25,172,63,1.8525,1.9666,5.6996,-20.231,293.78
26,26,172,63,1.8525,0.36478,4.5679,-19.88,281.46
27,27,172,63,1.8525,-0.96705,3.6798,-19.398,275.45
28,28,172,63,1.8525,-2.0266,3.0574,-18.828,276.23
29,29,172,63,1.8525,-2.8678,2.7093,-18.168,284.11
30,30,172,63,1.8525,-3.6047,2.5712,-17.412,299.12
31,31,172,63,1.8525,-4.3849,2.5058,-16.588,320.9
32,32,172,63,1.8525,-5.3138,2.3871,-15.766,348.66
33,33,172,63,1.8525,-6.4002,2.2134,-14.993,381.32
34,34,172,63,1.8525,-7.6116,2.0597,-14.28,417.58
